id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
71663,2013,0,2013,2013,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,1,"""BBC Monitoring Newsfile,2013-12-14,Seven killed in clashes following Bangladesh Islamist party leader's execution""",BBC Monitoring Newsfile,2013-12-14,Seven killed in clashes following Bangladesh Islamist party leader's execution,police,1,Bhāndāria town,Barisāl Division,Pirojpur District,22.488976,90.062732,POINT (90.062732 22.488976),161821,Bangladesh,771,BGD,Asia,1,2,2013-12-13,2013-12-14,0,1,0,0,1,1,1
73855,1989,1,1989,1989,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters (1989-10-01): ""SEPARATIST REBELS KILL SIX PEOPLE IN SOUTHERN BANGLADESH",,,,officials,2,Rangamati town,Chittagong Division,Rangamati District,22.643168,92.191859,POINT (92.191859 22.643168),162545,Bangladesh,771,BGD,Asia,1,1,1989-09-30,1989-09-30,0,0,6,0,6,6,6
72633,1991,0,1991,1991,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,BBC 2/28/1991 Election - some clashes reported.  AFP,,,,,6,Bangladesh,,,21.45,91.9833,POINT (91.983300 21.450000),160384,Bangladesh,771,BGD,Asia,1,1,1991-02-28,1991-02-28,0,0,0,1,1,1,1
73893,1992,1,1992,1992,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"R, 1992-05-19: ""BANGLADESH REBELS KILL THREE FAMILY MEMBERS"".",,,,not given,4,Chittagong Division,Chittagong Division,,22.916667,91.5,POINT (91.500000 22.916667),162544,Bangladesh,771,BGD,Asia,1,1,1992-05-16,1992-05-16,0,0,1,0,1,1,1
73807,1991,0,1991,1991,3,731,Government of Bangladesh - Civilians,1198,Government of Bangladesh - Civilians,143,771.0,Government of Bangladesh,1,,Civilians,-1,"Reuters (1991-01-01):  ""ONE KILLED AS BANGLADESH POLICE FIRE ON CLOTHING FACTORY WORKERS"".",,,,police and witnesses,1,Dhaka city,Dhaka Division,Dhaka District,23.723056,90.408611,POINT (90.408611 23.723056),163981,Bangladesh,771,BGD,Asia,1,1,1991-01-01,1991-01-01,0,0,0,0,0,0,1
73641,1991,1,1991,1991,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,"Reuters (3/12/1991):  ""ARMY KILLS TWO TRIBAL REBELS IN SOUTHEASTERN BANGLADESH"".",,,,police,2,Mahalchhari town,Chittagong Division,Khagrachhari District,22.931698,92.029768,POINT (92.029768 22.931698),162545,Bangladesh,771,BGD,Asia,1,1,1991-03-06,1991-03-06,0,1,0,0,1,1,1
73876,1991,1,1991,1991,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters (1991-08-20):  ""REBELS KILL FIVE IN SOUTHEAST BANGLADESH"".",,,,military sources,4,Chittagong Division,Chittagong Division,,22.916667,91.5,POINT (91.500000 22.916667),162544,Bangladesh,771,BGD,Asia,1,1,1991-08-20,1991-08-20,0,0,3,0,3,3,3
73879,1991,1,1991,1991,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters (1991-09-19):  ""TRIBAL REBELS KILL TWO SETTLERS IN SOUTHEAST BANGLADESH",,,,officials,2,Langadu town,Chittagong Division,Rangamati District,22.967561,92.134094,POINT (92.134094 22.967561),162545,Bangladesh,771,BGD,Asia,1,1,1991-09-19,1991-09-19,0,0,2,0,2,2,2
73881,1991,1,1991,1991,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,Reuters 1991-11-13,,,,officials,1,Babuchara town,Chittagong Division,Khagrachhari District,23.33,92.03,POINT (92.030000 23.330000),163265,Bangladesh,771,BGD,Asia,1,1,1991-11-12,1991-11-12,0,0,2,0,2,2,2
73665,1991,1,1991,1991,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,R 3/12/1991 ARMY KILLS TWO TRIBAL REBELS IN SOUTHEASTERN BANGLADESH.,,,,police,3,Chittagong District,Chittagong Division,Chittagong District,22.44792,91.84182,POINT (91.841820 22.447920),161824,Bangladesh,771,BGD,Asia,1,1,1991-03-11,1991-03-11,0,2,0,0,2,2,2
73871,1991,1,1991,1991,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters 1991-03-16: ""SEPARATIST REBELS KILL SIX IN SOUTHEAST BANGLADESH"".",,,,military sources,2,Barkal town,Chittagong Division,Rangamati District,22.721581,92.399803,POINT (92.399803 22.721581),162545,Bangladesh,771,BGD,Asia,1,1,1991-03-16,1991-03-16,0,0,7,0,7,7,7
73906,2003,0,2003,2003,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"R, 2003-11-15",,,,police,4,Chittagong Division,Chittagong Division,,22.916667,91.5,POINT (91.500000 22.916667),162544,Bangladesh,771,BGD,Asia,1,1,2003-11-14,2003-11-14,0,0,0,0,0,0,3
73542,2001,1,2001,2001,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,r 13/7 2001,,,,police,3,Bhola District,Barisal Division,Bhola District,22.366667,90.816667,POINT (90.816667 22.366667),161822,Bangladesh,771,BGD,Asia,1,1,2001-07-12,2001-07-12,0,0,0,1,1,1,1
73443,1991,0,1991,1991,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,R 6/16/1991 TWO COLLEGE STUDENTS DIE IN BANGLADESH CAPITAL GUNBATTLE.,,,,police,1,Dhaka city,Dhaka Division,Dhaka District,23.723056,90.408611,POINT (90.408611 23.723056),163981,Bangladesh,771,BGD,Asia,1,1,1991-06-15,1991-06-15,1,1,0,0,2,2,2
73663,1991,1,1991,1991,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,"Reuters (15 June 1991):  ""REBELS KILL THREE SOLDIERS IN SOUTHEAST BANGLADESH"".",,,,military sources,2,Barkal town,Chittagong Division,Rangamati District,22.721581,92.399803,POINT (92.399803 22.721581),162545,Bangladesh,771,BGD,Asia,1,1,1991-06-15,1991-06-15,3,0,0,0,3,3,3
73666,1991,1,1991,1991,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,R 6/25/1991 TRIBAL REBELS KILL FIVE SOLDIERS IN SOUTHEAST BANGLADESH.,,,,officials,4,Chittagong Division,Chittagong Division,,22.916667,91.5,POINT (91.500000 22.916667),162544,Bangladesh,771,BGD,Asia,2,2,1991-06-22,1991-06-24,5,0,0,0,5,5,5
73721,2005,1,2005,2005,1,11350,Bangladesh: Government,11991,Government of Bangladesh - PBCP-J,143,771.0,Government of Bangladesh,1165,,PBCP-J,-1,SATP,,,,,1,Kochubaria town,Khulna Division,Kushtia District,23.908138,88.956554,POINT (88.956554 23.908138),163978,Bangladesh,771,BGD,Asia,1,1,2005-10-31,2005-10-31,0,1,0,0,1,1,1
73668,1991,1,1991,1991,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,"Reuters (25 June 1991): ""TRIBAL REBELS KILL FIVE SOLDIERS IN SOUTHEAST BANGLADESH"".",,,,officials,2,Barkal town,Chittagong Division,Rangamati District,22.721581,92.399803,POINT (92.399803 22.721581),162545,Bangladesh,771,BGD,Asia,1,1,1991-06-23,1991-06-23,4,0,0,0,4,4,4
73667,1991,1,1991,1991,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,R 6/25/1991 TRIBAL REBELS KILL FIVE SOLDIERS IN SOUTHEAST BANGLADESH.,,,,officials,1,Andharmanik town,Chittagong Division,Rangamati District,22.722037,92.512618,POINT (92.512618 22.722037),162546,Bangladesh,771,BGD,Asia,1,1,1991-06-24,1991-06-24,1,0,0,0,1,1,1
73882,1991,1,1991,1991,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters (1991-11-14): ""TRIBAL REBELS KILL SIX SETTLERS IN SOUTHEAST BANGLADESH"".",,,,police,4,Chittagong Division,Chittagong Division,,22.916667,91.5,POINT (91.500000 22.916667),162544,Bangladesh,771,BGD,Asia,1,1,1991-11-14,1991-11-14,0,0,6,0,6,6,6
74074,2010,0,2010,2010,2,10513,Supporters of Awami League - Supporters of Jamaat-e-Islami,11123,Supporters of Awami League - Supporters of Jamaat-e-Islami,372,,Supporters of Awami League,2765,,Supporters of Jamaat-e-Islami,-1,"BBC Monitoring South Asia (2010-02-10): ""Bangladesh university student killed in clash with Islamic group"".",,,,"police, university officials",1,Rajshahi town,Rajshahi Division,Rajshahi District,24.366667,88.6,POINT (88.600000 24.366667),164698,Bangladesh,771,BGD,Asia,1,1,2010-02-09,2010-02-09,1,0,0,0,1,1,1
73883,1991,1,1991,1991,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters 1991-11-29:  ""ONE KILLED IN BOMB EXPLOSION IN CHITTAGONG HILL TRACTS"".",,,,defense sources,4,Chittagong Division,Chittagong Division,,22.916667,91.5,POINT (91.500000 22.916667),162544,Bangladesh,771,BGD,Asia,1,1,1991-11-28,1991-11-28,0,0,1,0,1,1,1
73860,1990,1,1990,1990,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters 1990-01-30: ""TRIBAL REBELS KILL SIX FARMERS IN SOUTHERN BANGLADESH"".",,,,officials,2,Langadu town,Chittagong Division,Rangamati District,22.967561,92.134094,POINT (92.134094 22.967561),162545,Bangladesh,771,BGD,Asia,1,1,1990-01-29,1990-01-29,0,0,6,0,6,6,6
73847,1989,1,1989,1989,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,r 1989-06-14,,,,officials,4,Chittagong Division,Chittagong Division,,22.916667,91.5,POINT (91.500000 22.916667),162544,Bangladesh,771,BGD,Asia,2,2,1989-06-12,1989-06-13,0,0,4,0,4,4,4
73653,1990,1,1990,1990,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,R 2/21/1990 TWO REBELS DIE IN EXCHANGE OF FIRE IN SOUTHERN BANGLADESH.,,,,officials,4,Chittagong Division,Chittagong Division,,22.916667,91.5,POINT (91.500000 22.916667),162544,Bangladesh,771,BGD,Asia,1,1,1990-02-21,1990-02-21,0,2,0,0,2,2,2
72623,1990,0,1990,1990,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,R 2/25/1990 DHAKA UNIVERSITY CLOSED FOLLOWING VIOLENCE.,,,,witnesses,1,Dhaka city,Dhaka Division,Dhaka District,23.723056,90.408611,POINT (90.408611 23.723056),163981,Bangladesh,771,BGD,Asia,1,1,1990-02-25,1990-02-25,1,0,0,0,1,1,1
73850,1989,1,1989,1989,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters (1989-05-21):  ""TRIBAL REBELS KILL 10 IN SOUTHERN BANGLADESH"".",,,,officials,1,Thanchi town,Chittagong Division,Bandarban District,21.782871,92.434189,POINT (92.434189 21.782871),161105,Bangladesh,771,BGD,Asia,1,1,1989-05-20,1989-05-20,0,0,10,0,10,10,10
73809,1991,0,1991,1991,3,731,Government of Bangladesh - Civilians,1198,Government of Bangladesh - Civilians,143,771.0,Government of Bangladesh,1,,Civilians,-1,"Reuters (1 July 1991):  ""BANGLADESHI STUDENT RAPED BY FIVE POLICEMEN DIES IN HOSPITAL"".",,,,Daily Sangbad (Bengali-language newspaper),2,Chittagong town,Chittagong Division,Chittagong District,22.338396,91.831685,POINT (91.831685 22.338396),161824,Bangladesh,771,BGD,Asia,1,1,1991-06-30,1991-06-30,0,0,1,0,1,1,1
73642,1989,1,1989,1989,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,"Reuters (23 June 1989):  ""TRIBAL REBELS IN BANGLADESH KILL THREE SOLDIERS"".",,,,police,2,Langadu town,Chittagong Division,Rangamati District,22.967561,92.134094,POINT (92.134094 22.967561),162545,Bangladesh,771,BGD,Asia,1,1,1989-06-22,1989-06-22,3,0,0,0,3,3,3
73853,1989,1,1989,1989,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters (1989-07-20):  ""BANGLADESH ALERT AFTER ""PEACE FORCE"" BOMB KILLS NINE"".",,,,officials,3,Rangamati District,Chittagong Division,Rangamati District,22.633333,92.2,POINT (92.200000 22.633333),162545,Bangladesh,771,BGD,Asia,1,1,1989-07-19,1989-07-19,0,0,9,0,9,9,9
73643,1989,1,1989,1989,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,"Reuters  (16 August 1989):  ""BANGLADESH REBELS AMBUSH SOLDIERS, KILL TWO"".",,,,officials,2,Manikchhari town,Chittagong Division,Khagrachhari District,22.83,91.84,POINT (91.840000 22.830000),162544,Bangladesh,771,BGD,Asia,1,1,1989-08-16,1989-08-16,2,0,0,0,2,2,2
73857,1989,1,1989,1989,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"r 1989-08-17.  AP 1989-08-17: ""11 Killed, 41 Injured in Series of Explosions",,,,officials,3,Khagrachhari District,Chittagong Division,Khagrachhari District,23.16952,91.95316,POINT (91.953160 23.169520),163264,Bangladesh,771,BGD,Asia,1,1,1989-08-16,1989-08-16,0,0,5,0,5,5,5
73858,1989,1,1989,1989,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"r 1989-08-17.  AP 1989-08-17: ""11 Killed, 41 Injured in Series of Explosions",,,,officials,3,Rangamati District,Chittagong Division,Rangamati District,22.633333,92.2,POINT (92.200000 22.633333),162545,Bangladesh,771,BGD,Asia,1,1,1989-08-16,1989-08-16,0,0,5,0,5,5,5
73644,1989,1,1989,1989,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,"Reuters (31 August 1989):  ""FOUR BANGLADESH SOLDIERS KILLED BY REBEL LANDMINE"".",,,,officials,2,Dighinala town,Chittagong Division,Khagrachari District,23.240847,92.064069,POINT (92.064069 23.240847),163265,Bangladesh,771,BGD,Asia,1,1,1989-08-30,1989-08-30,4,0,0,0,4,4,4
74731,1989,0,1989,1989,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,"R 9/8/1989 TWO KILLED, 50 INJURED IN BANGLADESH STUDENT VIOLENCE.",,,,police,1,Jhenaidaha town,Khulna Division,Jhenaidaha District,23.5427,89.179413,POINT (89.179413 23.542700),163979,Bangladesh,771,BGD,Asia,1,1,1989-09-07,1989-09-07,0,0,0,0,0,0,1
73645,1989,1,1989,1989,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,"Reuters  (9 August 1989):  ""BANGLADESH ARMY OFFICER KILLED IN GUNFIGHT WITH REBELS"".",,,,officials,2,Baghaichhari town,Chittagong Division,Rangamati District,23.170573,92.199076,POINT (92.199076 23.170573),163265,Bangladesh,771,BGD,Asia,1,1,1989-09-08,1989-09-08,1,2,0,0,3,3,3
73434,1989,0,1989,1989,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,"R 9/16/1989 ONE KILLED, 20 HURT IN CLASHES BETWEEN RIVAL STUDENTS.",,,,police,1,Chittagong town,Chittagong Division,Chittagong District,22.338396,91.831685,POINT (91.831685 22.338396),161824,Bangladesh,771,BGD,Asia,1,1,1989-09-16,1989-09-16,0,0,0,1,1,1,1
73646,1989,1,1989,1989,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,R 9/20/1989 BOMB KILLS THREE SOLDIERS IN SOUTHERN BANGLADESH.,,,,local officials,4,Chittagong Division,Chittagong Division,,22.916667,91.5,POINT (91.500000 22.916667),162544,Bangladesh,771,BGD,Asia,1,1,1989-09-20,1989-09-20,3,0,0,0,3,3,3
73647,1989,1,1989,1989,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,"Reuters (30 October 1989):  ""NINE BANGLADESH SOLDIERS KILLED BY REBEL LANDMINE"".",,,,officials,2,Mahalchhari town,Chittagong Division,Khagrachhari District,22.931698,92.029768,POINT (92.029768 22.931698),162545,Bangladesh,771,BGD,Asia,1,1,1989-10-29,1989-10-29,9,0,0,0,9,9,9
73859,1989,1,1989,1989,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"r 1989-11-25:  ""TRIBAL GUERRILLAS KILL THREE PEOPLE IN SOUTHERN BANGLADESH",,,,local officials,4,Chittagong Division,Chittagong Division,,22.916667,91.5,POINT (91.500000 22.916667),162544,Bangladesh,771,BGD,Asia,1,1,1989-11-25,1989-11-25,0,0,3,0,3,3,3
73648,1989,1,1989,1989,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,"Reuters (17 December 1989):  ""TWO REBELS DIE IN EXCHANGE OF FIRE IN SOUTHERN BANGLADESH"".",,,,officials,2,Langadu town,Chittagong Division,Rangamati District,22.967561,92.134094,POINT (92.134094 22.967561),162545,Bangladesh,771,BGD,Asia,1,1,1989-12-17,1989-12-17,0,2,0,0,2,2,2
73649,1990,1,1990,1990,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,"Reuters (January 10 1990):  ""DHAKA, Jan 10, Reuter - Five tribal rebels were killed in exchanges of fire wit…",,,,officials,4,Chittagong Division,Chittagong Division,,22.916667,91.5,POINT (91.500000 22.916667),162544,Bangladesh,771,BGD,Asia,1,1,1990-01-10,1990-01-10,0,5,0,0,5,5,5
73650,1990,1,1990,1990,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,"Reuters (13 January 1990):  ""TRIBAL REBELS KILL 12 BANGLADESHI SOLDIERS IN AMBUSH"".",,,,officials,2,Ramgarh sub-District,Chittagong Division,Khagrachhari District,22.994655,91.741714,POINT (91.741714 22.994655),162544,Bangladesh,771,BGD,Asia,1,1,1990-01-13,1990-01-13,12,0,0,0,12,12,12
73651,1990,1,1990,1990,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,R 2/6/1990 SOLDIERS KILL FOUR TRIBAL REBELS IN SOUTHERN BANGLADESH.,,,,officials,4,Chittagong Division,Chittagong Division,,22.916667,91.5,POINT (91.500000 22.916667),162544,Bangladesh,771,BGD,Asia,1,1,1990-02-05,1990-02-05,1,0,0,0,1,1,1
73861,1990,1,1990,1990,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters 1990-02-06:  ""BOMB LAID BY SUSPECTED REBELS KILLS COUNCIL CHAIRMAN"".",,,,officials,3,Khagrachhari District,Chittagong Division,Khagrachhari District,23.16952,91.95316,POINT (91.953160 23.169520),163264,Bangladesh,771,BGD,Asia,1,1,1990-02-05,1990-02-05,0,0,1,0,1,1,1
73652,1990,1,1990,1990,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,R 2/6/1990 SOLDIERS KILL FOUR TRIBAL REBELS IN SOUTHERN BANGLADESH.,,,,officials,4,Chittagong Division,Chittagong Division,,22.916667,91.5,POINT (91.500000 22.916667),162544,Bangladesh,771,BGD,Asia,1,1,1990-02-06,1990-02-06,0,4,0,0,4,4,4
73655,1990,1,1990,1990,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,"Reuters 1990-03-15: ""DHAKA, March 15, Reuter - Separatist tribal rebels killed three soldiers when t…",,,,officials,4,Chittagong Division,Chittagong Division,,22.916667,91.5,POINT (91.500000 22.916667),162544,Bangladesh,771,BGD,Asia,1,1,1990-03-14,1990-03-14,3,0,0,0,3,3,3
73806,1990,0,1990,1990,3,731,Government of Bangladesh - Civilians,1198,Government of Bangladesh - Civilians,143,771.0,Government of Bangladesh,1,,Civilians,-1,"Reuters (1990-03-17): ""STRIKE OVER KILLING SHUTS DOWN NORTHEAST BANGLADESH TOWN"".",,,,officials,1,Sylhet town,Sylhet Division,Sylhet District,24.899167,91.871944,POINT (91.871944 24.899167),165424,Bangladesh,771,BGD,Asia,1,1,1990-03-16,1990-03-16,0,0,0,0,0,0,3
73864,1990,1,1990,1990,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters (1990-04-18):  ""TRIBAL REBELS STRIKE AGAIN, KILL THREE IN BANGLADESH HILLS"".",,,,officials,3,Rangamati District,Chittagong Division,Rangamati District,22.633333,92.2,POINT (92.200000 22.633333),162545,Bangladesh,771,BGD,Asia,1,1,1990-04-17,1990-04-17,0,0,3,0,3,3,3
73865,1990,1,1990,1990,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,Reuters 1990-04-19,,,,military sources,2,Khagrachhari town,Chittagong Division,Khagrachhari District,23.111154,91.987782,POINT (91.987782 23.111154),163264,Bangladesh,771,BGD,Asia,1,1,1990-04-19,1990-04-19,0,0,3,0,3,3,3
73656,1990,1,1990,1990,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,"Reuters (11 May 1990):  ""SOLDIERS KILL REBEL COMMANDER, ASSOCIATE IN JUNGLE FIGHT"".",,,,military sources,4,Chittagong Division,Chittagong Division,,22.916667,91.5,POINT (91.500000 22.916667),162544,Bangladesh,771,BGD,Asia,1,1,1990-05-10,1990-05-10,0,2,0,0,2,2,2
73657,1990,1,1990,1990,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,"Reuters (28 May 1990): ""REBEL COMMANDER DIES IN BATTLE WITH BANGLADESH SOLDIERS"".",,,,military sources,4,Chittagong Division,Chittagong Division,,22.916667,91.5,POINT (91.500000 22.916667),162544,Bangladesh,771,BGD,Asia,1,1,1990-05-28,1990-05-28,0,1,0,0,1,1,1
73866,1990,1,1990,1990,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters (1990-06-10):  ""TRIBAL REBELS KILL SEVEN IN SOUTHEASTERN BANGLADESH"".",,,,military sources,2,Langadu town,Chittagong Division,Rangamati District,22.967561,92.134094,POINT (92.134094 22.967561),162545,Bangladesh,771,BGD,Asia,1,1,1990-06-09,1990-06-09,0,0,7,0,7,7,7
73658,1990,1,1990,1990,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,"Reuters (20 June 1990):  ""TRIBAL GUERRILLAS KILL THREE POLICEMEN IN SOUTHERN BANGLADESH"".",,,,officials,3,Rangamati District,Chittagong Division,Rangamati District,22.633333,92.2,POINT (92.200000 22.633333),162545,Bangladesh,771,BGD,Asia,1,1,1990-06-20,1990-06-20,3,0,0,0,3,3,3
74064,1990,0,1990,1990,2,10513,Supporters of Awami League - Supporters of Jamaat-e-Islami,11123,Supporters of Awami League - Supporters of Jamaat-e-Islami,372,,Supporters of Awami League,2765,,Supporters of Jamaat-e-Islami,-1,"Reuters (24 June 1990):  ""BANGLADESH UNIVERSITY SHUT AFTER GUNFIGHT KILLS A STUDENT"".",,,,police,1,Rajshahi City town,Rajshahi Division,Rajshahi District,24.366667,88.6,POINT (88.600000 24.366667),164698,Bangladesh,771,BGD,Asia,1,1,1990-06-24,1990-06-24,0,0,0,1,1,1,1
73868,1990,1,1990,1990,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Xinhua (1990-08-31):  ""Six killed by tribal rebels in south-east"".",,,,security sources,3,Rangamati District,Chittagong Division,Rangamati District,22.633333,92.2,POINT (92.200000 22.633333),162545,Bangladesh,771,BGD,Asia,1,1,1990-08-25,1990-08-25,0,0,4,0,4,4,4
73863,1990,1,1990,1990,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,Xinhua 1990-08-31,,,,security sources,2,Kawkhali sub-District,Chittagong Division,Rangamati District,22.5447,92.002076,POINT (92.002076 22.544700),162545,Bangladesh,771,BGD,Asia,1,1,1990-08-29,1990-08-29,0,0,2,0,2,2,2
73869,1990,1,1990,1990,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters (1990-10-22):  ""TRIBAL REBELS KILL COUNCIL CHAIRMAN IN SOUTHERN BANGLADESH"".",,,,officials,4,Chittagong Division,Chittagong Division,,22.916667,91.5,POINT (91.500000 22.916667),162544,Bangladesh,771,BGD,Asia,1,1,1990-10-21,1990-10-21,0,0,1,0,1,1,1
